Cost centre group,Cost centre,Academic year,Sex,Number
Total academic services,Total academic services,2017/18,Male,485
"Medicine, dentistry & health",101 Clinical medicine,2018/19,Female,13935
"Medicine, dentistry & health",101 Clinical medicine,2018/19,Male,11805
"Medicine, dentistry & health",102 Clinical dentistry,2018/19,Female,740
"Medicine, dentistry & health",102 Clinical dentistry,2018/19,Male,795
"Medicine, dentistry & health",103 Nursing & allied health professions,2018/19,Female,8250
"Medicine, dentistry & health",103 Nursing & allied health professions,2018/19,Male,2845
"Medicine, dentistry & health",104 Psychology & behavioural sciences,2018/19,Female,4840
"Medicine, dentistry & health",104 Psychology & behavioural sciences,2018/19,Male,2945
"Medicine, dentistry & health",105 Health & community studies,2018/19,Female,1700
"Medicine, dentistry & health",105 Health & community studies,2018/19,Male,815
"Medicine, dentistry & health",106 Anatomy & physiology,2018/19,Female,865
"Medicine, dentistry & health",106 Anatomy & physiology,2018/19,Male,850
"Medicine, dentistry & health",107 Pharmacy & pharmacology,2018/19,Female,1210
"Medicine, dentistry & health",107 Pharmacy & pharmacology,2018/19,Male,1190
Education,108 Sports science & leisure studies,2018/19,Female,1115
Education,108 Sports science & leisure studies,2018/19,Male,1945
"Agriculture, forestry & veterinary science",109 Veterinary science,2018/19,Female,820
"Agriculture, forestry & veterinary science",109 Veterinary science,2018/19,Male,615
"Agriculture, forestry & veterinary science","110 Agriculture, forestry & food science",2018/19,Female,745
"Agriculture, forestry & veterinary science","110 Agriculture, forestry & food science",2018/19,Male,680
"Biological, mathematical & physical sciences","111 Earth, marine & environmental sciences",2018/19,Female,1365
"Biological, mathematical & physical sciences","111 Earth, marine & environmental sciences",2018/19,Male,2385
"Biological, mathematical & physical sciences",112 Biosciences,2018/19,Female,6720
"Biological, mathematical & physical sciences",112 Biosciences,2018/19,Male,7830
"Biological, mathematical & physical sciences",113 Chemistry,2018/19,Female,1280
"Biological, mathematical & physical sciences",113 Chemistry,2018/19,Male,3115
"Biological, mathematical & physical sciences",114 Physics,2018/19,Female,1090
"Biological, mathematical & physical sciences",114 Physics,2018/19,Male,4455
Engineering & technology,115 General engineering,2018/19,Female,980
Engineering & technology,115 General engineering,2018/19,Male,3205
Engineering & technology,116 Chemical engineering,2018/19,Female,365
Engineering & technology,116 Chemical engineering,2018/19,Male,960
Engineering & technology,"117 Mineral, metallurgy & materials engineering",2018/19,Female,330
Engineering & technology,"117 Mineral, metallurgy & materials engineering",2018/19,Male,915
Engineering & technology,118 Civil engineering,2018/19,Female,515
Engineering & technology,118 Civil engineering,2018/19,Male,1675
Engineering & technology,"119 Electrical, electronic & computer engineering",2018/19,Female,750
Engineering & technology,"119 Electrical, electronic & computer engineering",2018/19,Male,3955
Engineering & technology,"120 Mechanical, aero & production engineering",2018/19,Female,890
Engineering & technology,"120 Mechanical, aero & production engineering",2018/19,Male,4340
Engineering & technology,"121 IT, systems sciences & computer software engineering",2018/19,Female,1800
Engineering & technology,"121 IT, systems sciences & computer software engineering",2018/19,Male,6175
"Biological, mathematical & physical sciences",122 Mathematics,2018/19,Female,1115
"Biological, mathematical & physical sciences",122 Mathematics,2018/19,Male,3870
Architecture & planning,"123 Architecture, built environment & planning",2018/19,Female,1620
Architecture & planning,"123 Architecture, built environment & planning",2018/19,Male,2910
Social studies,124 Geography & environmental studies,2018/19,Female,1050
Social studies,124 Geography & environmental studies,2018/19,Male,1565
Humanities & language based studies & archaeology,125 Area studies,2018/19,Female,205
Humanities & language based studies & archaeology,125 Area studies,2018/19,Male,230
Humanities & language based studies & archaeology,126 Archaeology,2018/19,Female,360
Humanities & language based studies & archaeology,126 Archaeology,2018/19,Male,435
Social studies,127 Anthropology & development studies,2018/19,Female,505
Social studies,127 Anthropology & development studies,2018/19,Male,505
Social studies,128 Politics & international studies,2018/19,Female,1435
Social studies,128 Politics & international studies,2018/19,Male,2305
Social studies,129 Economics & econometrics,2018/19,Female,870
Social studies,129 Economics & econometrics,2018/19,Male,1970
Social studies,130 Law,2018/19,Female,3225
Social studies,130 Law,2018/19,Male,2915
Social studies,131 Social work & social policy,2018/19,Female,1930
Social studies,131 Social work & social policy,2018/19,Male,990
Social studies,132 Sociology,2018/19,Female,1955
Social studies,132 Sociology,2018/19,Male,1535
Administration & business studies,133 Business & management studies,2018/19,Female,7215
Administration & business studies,133 Business & management studies,2018/19,Male,9295
Administration & business studies,134 Catering & hospitality management,2018/19,Female,325
Administration & business studies,134 Catering & hospitality management,2018/19,Male,275
Education,135 Education,2018/19,Female,6350
Education,135 Education,2018/19,Male,2940
Education,136 Continuing education,2018/19,Female,530
Education,136 Continuing education,2018/19,Male,320
Humanities & language based studies & archaeology,137 Modern languages,2018/19,Female,3690
Humanities & language based studies & archaeology,137 Modern languages,2018/19,Male,1920
Humanities & language based studies & archaeology,138 English language & literature,2018/19,Female,2930
Humanities & language based studies & archaeology,138 English language & literature,2018/19,Male,2180
Humanities & language based studies & archaeology,139 History,2018/19,Female,1605
Humanities & language based studies & archaeology,139 History,2018/19,Male,2110
Humanities & language based studies & archaeology,140 Classics,2018/19,Female,320
Humanities & language based studies & archaeology,140 Classics,2018/19,Male,355
Humanities & language based studies & archaeology,141 Philosophy,2018/19,Female,355
Humanities & language based studies & archaeology,141 Philosophy,2018/19,Male,815
Humanities & language based studies & archaeology,142 Theology & religious studies,2018/19,Female,275
Humanities & language based studies & archaeology,142 Theology & religious studies,2018/19,Male,445
"Design, creative & performing arts",143 Art & design,2018/19,Female,5005
"Design, creative & performing arts",143 Art & design,2018/19,Male,4615
"Design, creative & performing arts","144 Music, dance, drama & performing arts",2018/19,Female,3550
"Design, creative & performing arts","144 Music, dance, drama & performing arts",2018/19,Male,4660
Social studies,145 Media studies,2018/19,Female,2145
Social studies,145 Media studies,2018/19,Male,2755
Total academic services,Total academic services,2018/19,Female,725
Total academic services,Total academic services,2018/19,Male,535
"Medicine, dentistry & health",101 Clinical medicine,2019/20,Female,14015
"Medicine, dentistry & health",101 Clinical medicine,2019/20,Male,11805
"Medicine, dentistry & health",102 Clinical dentistry,2019/20,Female,745
"Medicine, dentistry & health",102 Clinical dentistry,2019/20,Male,795
"Medicine, dentistry & health",103 Nursing & allied health professions,2019/20,Female,8480
"Medicine, dentistry & health",103 Nursing & allied health professions,2019/20,Male,2955
"Medicine, dentistry & health",104 Psychology & behavioural sciences,2019/20,Female,5200
"Medicine, dentistry & health",104 Psychology & behavioural sciences,2019/20,Male,3025
"Medicine, dentistry & health",105 Health & community studies,2019/20,Female,1685
"Medicine, dentistry & health",105 Health & community studies,2019/20,Male,805
"Medicine, dentistry & health",106 Anatomy & physiology,2019/20,Female,975
"Medicine, dentistry & health",106 Anatomy & physiology,2019/20,Male,915
"Medicine, dentistry & health",107 Pharmacy & pharmacology,2019/20,Female,1240
"Medicine, dentistry & health",107 Pharmacy & pharmacology,2019/20,Male,1185
Education,108 Sports science & leisure studies,2019/20,Female,1125
Education,108 Sports science & leisure studies,2019/20,Male,1915
"Agriculture, forestry & veterinary science",109 Veterinary science,2019/20,Female,870
"Agriculture, forestry & veterinary science",109 Veterinary science,2019/20,Male,625
"Agriculture, forestry & veterinary science","110 Agriculture, forestry & food science",2019/20,Female,755
"Agriculture, forestry & veterinary science","110 Agriculture, forestry & food science",2019/20,Male,655
"Biological, mathematical & physical sciences","111 Earth, marine & environmental sciences",2019/20,Female,1405
"Biological, mathematical & physical sciences","111 Earth, marine & environmental sciences",2019/20,Male,2335
"Biological, mathematical & physical sciences",112 Biosciences,2019/20,Female,6950
"Biological, mathematical & physical sciences",112 Biosciences,2019/20,Male,7915
"Biological, mathematical & physical sciences",113 Chemistry,2019/20,Female,1315
"Biological, mathematical & physical sciences",113 Chemistry,2019/20,Male,3075
"Biological, mathematical & physical sciences",114 Physics,2019/20,Female,1135
"Biological, mathematical & physical sciences",114 Physics,2019/20,Male,4450
Engineering & technology,115 General engineering,2019/20,Female,1065
Engineering & technology,115 General engineering,2019/20,Male,3385
Engineering & technology,116 Chemical engineering,2019/20,Female,375
Engineering & technology,116 Chemical engineering,2019/20,Male,965
Engineering & technology,"117 Mineral, metallurgy & materials engineering",2019/20,Female,320
Engineering & technology,"117 Mineral, metallurgy & materials engineering",2019/20,Male,905
Engineering & technology,118 Civil engineering,2019/20,Female,540
Engineering & technology,118 Civil engineering,2019/20,Male,1760
Engineering & technology,"119 Electrical, electronic & computer engineering",2019/20,Female,820
Engineering & technology,"119 Electrical, electronic & computer engineering",2019/20,Male,4080
Engineering & technology,"120 Mechanical, aero & production engineering",2019/20,Female,940
Engineering & technology,"120 Mechanical, aero & production engineering",2019/20,Male,4440
Engineering & technology,"121 IT, systems sciences & computer software engineering",2019/20,Female,1885
Engineering & technology,"121 IT, systems sciences & computer software engineering",2019/20,Male,6260
"Biological, mathematical & physical sciences",122 Mathematics,2019/20,Female,1215
"Biological, mathematical & physical sciences",122 Mathematics,2019/20,Male,3920
Architecture & planning,"123 Architecture, built environment & planning",2019/20,Female,1730
Architecture & planning,"123 Architecture, built environment & planning",2019/20,Male,2990
Social studies,124 Geography & environmental studies,2019/20,Female,1085
Social studies,124 Geography & environmental studies,2019/20,Male,1525
Humanities & language based studies & archaeology,125 Area studies,2019/20,Female,220
Humanities & language based studies & archaeology,125 Area studies,2019/20,Male,240
Humanities & language based studies & archaeology,126 Archaeology,2019/20,Female,370
Humanities & language based studies & archaeology,126 Archaeology,2019/20,Male,425
Social studies,127 Anthropology & development studies,2019/20,Female,545
Social studies,127 Anthropology & development studies,2019/20,Male,510
Social studies,128 Politics & international studies,2019/20,Female,1570
Social studies,128 Politics & international studies,2019/20,Male,2370
Social studies,129 Economics & econometrics,2019/20,Female,930
Social studies,129 Economics & econometrics,2019/20,Male,1995
Social studies,130 Law,2019/20,Female,3555
Social studies,130 Law,2019/20,Male,3080
Social studies,131 Social work & social policy,2019/20,Female,1995
Social studies,131 Social work & social policy,2019/20,Male,1015
Social studies,132 Sociology,2019/20,Female,1985
Social studies,132 Sociology,2019/20,Male,1570
Administration & business studies,133 Business & management studies,2019/20,Female,7745
Administration & business studies,133 Business & management studies,2019/20,Male,9845
Administration & business studies,134 Catering & hospitality management,2019/20,Female,325
Administration & business studies,134 Catering & hospitality management,2019/20,Male,265
Education,135 Education,2019/20,Female,6500
Education,135 Education,2019/20,Male,2950
Education,136 Continuing education,2019/20,Female,605
Education,136 Continuing education,2019/20,Male,330
Humanities & language based studies & archaeology,137 Modern languages,2019/20,Female,3615
Humanities & language based studies & archaeology,137 Modern languages,2019/20,Male,1860
Humanities & language based studies & archaeology,138 English language & literature,2019/20,Female,3040
Humanities & language based studies & archaeology,138 English language & literature,2019/20,Male,2240
Humanities & language based studies & archaeology,139 History,2019/20,Female,1680
Humanities & language based studies & archaeology,139 History,2019/20,Male,2095
Humanities & language based studies & archaeology,140 Classics,2019/20,Female,335
Humanities & language based studies & archaeology,140 Classics,2019/20,Male,355
Humanities & language based studies & archaeology,141 Philosophy,2019/20,Female,390
Humanities & language based studies & archaeology,141 Philosophy,2019/20,Male,840
Humanities & language based studies & archaeology,142 Theology & religious studies,2019/20,Female,330
Humanities & language based studies & archaeology,142 Theology & religious studies,2019/20,Male,535
"Design, creative & performing arts",143 Art & design,2019/20,Female,5160
"Design, creative & performing arts",143 Art & design,2019/20,Male,4660
"Design, creative & performing arts","144 Music, dance, drama & performing arts",2019/20,Female,3730
"Design, creative & performing arts","144 Music, dance, drama & performing arts",2019/20,Male,5045
Social studies,145 Media studies,2019/20,Female,2100
Social studies,145 Media studies,2019/20,Male,2675
Total academic services,Total academic services,2019/20,Female,895
Total academic services,Total academic services,2019/20,Male,590
"Medicine, dentistry & health",101 Clinical medicine,2020/21,Female,14255
"Medicine, dentistry & health",101 Clinical medicine,2020/21,Male,11745
"Medicine, dentistry & health",102 Clinical dentistry,2020/21,Female,780
"Medicine, dentistry & health",102 Clinical dentistry,2020/21,Male,840
"Medicine, dentistry & health",103 Nursing & allied health professions,2020/21,Female,8705
"Medicine, dentistry & health",103 Nursing & allied health professions,2020/21,Male,3005
"Medicine, dentistry & health",104 Psychology & behavioural sciences,2020/21,Female,5420
"Medicine, dentistry & health",104 Psychology & behavioural sciences,2020/21,Male,3105
"Medicine, dentistry & health",105 Health & community studies,2020/21,Female,1600
"Medicine, dentistry & health",105 Health & community studies,2020/21,Male,820
"Medicine, dentistry & health",106 Anatomy & physiology,2020/21,Female,950
"Medicine, dentistry & health",106 Anatomy & physiology,2020/21,Male,885
"Medicine, dentistry & health",107 Pharmacy & pharmacology,2020/21,Female,1190
"Medicine, dentistry & health",107 Pharmacy & pharmacology,2020/21,Male,1085
Education,108 Sports science & leisure studies,2020/21,Female,1135
Education,108 Sports science & leisure studies,2020/21,Male,1925
"Agriculture, forestry & veterinary science",109 Veterinary science,2020/21,Female,940
"Agriculture, forestry & veterinary science",109 Veterinary science,2020/21,Male,655
"Agriculture, forestry & veterinary science","110 Agriculture, forestry & food science",2020/21,Female,805
"Agriculture, forestry & veterinary science","110 Agriculture, forestry & food science",2020/21,Male,660
"Biological, mathematical & physical sciences","111 Earth, marine & environmental sciences",2020/21,Female,1395
"Biological, mathematical & physical sciences","111 Earth, marine & environmental sciences",2020/21,Male,2275
"Biological, mathematical & physical sciences",112 Biosciences,2020/21,Female,6945
"Biological, mathematical & physical sciences",112 Biosciences,2020/21,Male,7745
"Biological, mathematical & physical sciences",113 Chemistry,2020/21,Female,1290
"Biological, mathematical & physical sciences",113 Chemistry,2020/21,Male,2945
"Biological, mathematical & physical sciences",114 Physics,2020/21,Female,1190
"Biological, mathematical & physical sciences",114 Physics,2020/21,Male,4490
Engineering & technology,115 General engineering,2020/21,Female,1090
Engineering & technology,115 General engineering,2020/21,Male,3445
Engineering & technology,116 Chemical engineering,2020/21,Female,405
Engineering & technology,116 Chemical engineering,2020/21,Male,985
Engineering & technology,"117 Mineral, metallurgy & materials engineering",2020/21,Female,325
Engineering & technology,"117 Mineral, metallurgy & materials engineering",2020/21,Male,875
Engineering & technology,118 Civil engineering,2020/21,Female,545
Engineering & technology,118 Civil engineering,2020/21,Male,1710
Engineering & technology,"119 Electrical, electronic & computer engineering",2020/21,Female,790
Engineering & technology,"119 Electrical, electronic & computer engineering",2020/21,Male,4110
Engineering & technology,"120 Mechanical, aero & production engineering",2020/21,Female,975
Engineering & technology,"120 Mechanical, aero & production engineering",2020/21,Male,4425
Engineering & technology,"121 IT, systems sciences & computer software engineering",2020/21,Female,2060
Engineering & technology,"121 IT, systems sciences & computer software engineering",2020/21,Male,6640
"Biological, mathematical & physical sciences",122 Mathematics,2020/21,Female,1270
"Biological, mathematical & physical sciences",122 Mathematics,2020/21,Male,3935
Architecture & planning,"123 Architecture, built environment & planning",2020/21,Female,1855
Architecture & planning,"123 Architecture, built environment & planning",2020/21,Male,3105
Social studies,124 Geography & environmental studies,2020/21,Female,1235
Social studies,124 Geography & environmental studies,2020/21,Male,1615
Humanities & language based studies & archaeology,125 Area studies,2020/21,Female,190
Humanities & language based studies & archaeology,125 Area studies,2020/21,Male,210
Humanities & language based studies & archaeology,126 Archaeology,2020/21,Female,390
Humanities & language based studies & archaeology,126 Archaeology,2020/21,Male,410
Social studies,127 Anthropology & development studies,2020/21,Female,510
Social studies,127 Anthropology & development studies,2020/21,Male,480
Social studies,128 Politics & international studies,2020/21,Female,1590
Social studies,128 Politics & international studies,2020/21,Male,2240
Social studies,129 Economics & econometrics,2020/21,Female,945
Social studies,129 Economics & econometrics,2020/21,Male,2095
Social studies,130 Law,2020/21,Female,3635
Social studies,130 Law,2020/21,Male,3090
Social studies,131 Social work & social policy,2020/21,Female,2070
Social studies,131 Social work & social policy,2020/21,Male,1040
Social studies,132 Sociology,2020/21,Female,2065
Social studies,132 Sociology,2020/21,Male,1535
Administration & business studies,133 Business & management studies,2020/21,Female,7935
Administration & business studies,133 Business & management studies,2020/21,Male,9825
Administration & business studies,134 Catering & hospitality management,2020/21,Female,250
Administration & business studies,134 Catering & hospitality management,2020/21,Male,235
Education,135 Education,2020/21,Female,6410
Education,135 Education,2020/21,Male,2845
Education,136 Continuing education,2020/21,Female,565
Education,136 Continuing education,2020/21,Male,290
Humanities & language based studies & archaeology,137 Modern languages,2020/21,Female,3430
Humanities & language based studies & archaeology,137 Modern languages,2020/21,Male,1795
Humanities & language based studies & archaeology,138 English language & literature,2020/21,Female,2870
Humanities & language based studies & archaeology,138 English language & literature,2020/21,Male,2120
Humanities & language based studies & archaeology,139 History,2020/21,Female,1685
Humanities & language based studies & archaeology,139 History,2020/21,Male,1995
Humanities & language based studies & archaeology,140 Classics,2020/21,Female,290
Humanities & language based studies & archaeology,140 Classics,2020/21,Male,325
Humanities & language based studies & archaeology,141 Philosophy,2020/21,Female,375
Humanities & language based studies & archaeology,141 Philosophy,2020/21,Male,815
Humanities & language based studies & archaeology,142 Theology & religious studies,2020/21,Female,330
Humanities & language based studies & archaeology,142 Theology & religious studies,2020/21,Male,545
"Design, creative & performing arts",143 Art & design,2020/21,Female,5290
"Design, creative & performing arts",143 Art & design,2020/21,Male,4575
"Design, creative & performing arts","144 Music, dance, drama & performing arts",2020/21,Female,3710
"Design, creative & performing arts","144 Music, dance, drama & performing arts",2020/21,Male,5180
Social studies,145 Media studies,2020/21,Female,2020
Social studies,145 Media studies,2020/21,Male,2580
Total academic services,Total academic services,2020/21,Female,905
Total academic services,Total academic services,2020/21,Male,635
"Medicine, dentistry & health",101 Clinical medicine,2021/22,Female,14510
"Medicine, dentistry & health",101 Clinical medicine,2021/22,Male,11695
"Medicine, dentistry & health",102 Clinical dentistry,2021/22,Female,870
"Medicine, dentistry & health",102 Clinical dentistry,2021/22,Male,900
"Medicine, dentistry & health",103 Nursing & allied health professions,2021/22,Female,9610
"Medicine, dentistry & health",103 Nursing & allied health professions,2021/22,Male,3215
"Medicine, dentistry & health",104 Psychology & behavioural sciences,2021/22,Female,6065
"Medicine, dentistry & health",104 Psychology & behavioural sciences,2021/22,Male,3255
"Medicine, dentistry & health",105 Health & community studies,2021/22,Female,1655
"Medicine, dentistry & health",105 Health & community studies,2021/22,Male,840
"Medicine, dentistry & health",106 Anatomy & physiology,2021/22,Female,910
"Medicine, dentistry & health",106 Anatomy & physiology,2021/22,Male,790
"Medicine, dentistry & health",107 Pharmacy & pharmacology,2021/22,Female,1275
"Medicine, dentistry & health",107 Pharmacy & pharmacology,2021/22,Male,1095
Education,108 Sports science & leisure studies,2021/22,Female,1200
Education,108 Sports science & leisure studies,2021/22,Male,1970
"Agriculture, forestry & veterinary science",109 Veterinary science,2021/22,Female,910
"Agriculture, forestry & veterinary science",109 Veterinary science,2021/22,Male,625
"Agriculture, forestry & veterinary science","110 Agriculture, forestry & food science",2021/22,Female,840
"Agriculture, forestry & veterinary science","110 Agriculture, forestry & food science",2021/22,Male,655
"Biological, mathematical & physical sciences","111 Earth, marine & environmental sciences",2021/22,Female,1465
"Biological, mathematical & physical sciences","111 Earth, marine & environmental sciences",2021/22,Male,2290
"Biological, mathematical & physical sciences",112 Biosciences,2021/22,Female,7095
"Biological, mathematical & physical sciences",112 Biosciences,2021/22,Male,7650
"Biological, mathematical & physical sciences",113 Chemistry,2021/22,Female,1310
"Biological, mathematical & physical sciences",113 Chemistry,2021/22,Male,2985
"Biological, mathematical & physical sciences",114 Physics,2021/22,Female,1240
"Biological, mathematical & physical sciences",114 Physics,2021/22,Male,4465
Engineering & technology,115 General engineering,2021/22,Female,1185
Engineering & technology,115 General engineering,2021/22,Male,3550
Engineering & technology,116 Chemical engineering,2021/22,Female,395
Engineering & technology,116 Chemical engineering,2021/22,Male,985
Engineering & technology,"117 Mineral, metallurgy & materials engineering",2021/22,Female,330
Engineering & technology,"117 Mineral, metallurgy & materials engineering",2021/22,Male,830
Engineering & technology,118 Civil engineering,2021/22,Female,585
Engineering & technology,118 Civil engineering,2021/22,Male,1715
Engineering & technology,"119 Electrical, electronic & computer engineering",2021/22,Female,735
Engineering & technology,"119 Electrical, electronic & computer engineering",2021/22,Male,3905
Engineering & technology,"120 Mechanical, aero & production engineering",2021/22,Female,1000
Engineering & technology,"120 Mechanical, aero & production engineering",2021/22,Male,4450
Engineering & technology,"121 IT, systems sciences & computer software engineering",2021/22,Female,2320
Engineering & technology,"121 IT, systems sciences & computer software engineering",2021/22,Male,7030
"Biological, mathematical & physical sciences",122 Mathematics,2021/22,Female,1405
"Biological, mathematical & physical sciences",122 Mathematics,2021/22,Male,4050
Architecture & planning,"123 Architecture, built environment & planning",2021/22,Female,2040
Architecture & planning,"123 Architecture, built environment & planning",2021/22,Male,3230
Social studies,124 Geography & environmental studies,2021/22,Female,1315
Social studies,124 Geography & environmental studies,2021/22,Male,1675
Humanities & language based studies & archaeology,125 Area studies,2021/22,Female,205
Humanities & language based studies & archaeology,125 Area studies,2021/22,Male,210
Humanities & language based studies & archaeology,126 Archaeology,2021/22,Female,385
Humanities & language based studies & archaeology,126 Archaeology,2021/22,Male,430
Social studies,127 Anthropology & development studies,2021/22,Female,555
Social studies,127 Anthropology & development studies,2021/22,Male,480
Social studies,128 Politics & international studies,2021/22,Female,1645
Social studies,128 Politics & international studies,2021/22,Male,2355
Social studies,129 Economics & econometrics,2021/22,Female,980
Social studies,129 Economics & econometrics,2021/22,Male,2160
Social studies,130 Law,2021/22,Female,3890
Social studies,130 Law,2021/22,Male,3260
Social studies,131 Social work & social policy,2021/22,Female,2115
Social studies,131 Social work & social policy,2021/22,Male,1060
Social studies,132 Sociology,2021/22,Female,2195
Social studies,132 Sociology,2021/22,Male,1635
Administration & business studies,133 Business & management studies,2021/22,Female,8435
Administration & business studies,133 Business & management studies,2021/22,Male,10245
Administration & business studies,134 Catering & hospitality management,2021/22,Female,260
Administration & business studies,134 Catering & hospitality management,2021/22,Male,255
Education,135 Education,2021/22,Female,6865
Education,135 Education,2021/22,Male,3020
Education,136 Continuing education,2021/22,Female,540
Education,136 Continuing education,2021/22,Male,295
Humanities & language based studies & archaeology,137 Modern languages,2021/22,Female,3500
Humanities & language based studies & archaeology,137 Modern languages,2021/22,Male,1810
Humanities & language based studies & archaeology,138 English language & literature,2021/22,Female,3035
Humanities & language based studies & archaeology,138 English language & literature,2021/22,Male,2125
Humanities & language based studies & archaeology,139 History,2021/22,Female,1760
Humanities & language based studies & archaeology,139 History,2021/22,Male,1960
Humanities & language based studies & archaeology,140 Classics,2021/22,Female,305
Humanities & language based studies & archaeology,140 Classics,2021/22,Male,330
Humanities & language based studies & archaeology,141 Philosophy,2021/22,Female,400
Humanities & language based studies & archaeology,141 Philosophy,2021/22,Male,860
Humanities & language based studies & archaeology,142 Theology & religious studies,2021/22,Female,330
Humanities & language based studies & archaeology,142 Theology & religious studies,2021/22,Male,555
"Design, creative & performing arts",143 Art & design,2021/22,Female,6075
"Design, creative & performing arts",143 Art & design,2021/22,Male,4985
"Design, creative & performing arts","144 Music, dance, drama & performing arts",2021/22,Female,3980
"Design, creative & performing arts","144 Music, dance, drama & performing arts",2021/22,Male,5505
Social studies,145 Media studies,2021/22,Female,2130
Social studies,145 Media studies,2021/22,Male,2665
Total academic services,Total academic services,2021/22,Female,990
Total academic services,Total academic services,2021/22,Male,675
